 city, time, temperature (C°), relative humidity (%), apparent temperature (C°), pressure (psi), precipitation (mm)
Paris,2021-12-15T08:00,5.7,97,4.1,1032.9,0.0
Paris,2021-12-15T09:00,5.9,95,4.4,1032.9,0.0
Paris,2021-12-15T10:00,5.8,95,3.9,1034.0,0.0
Paris,2021-12-15T11:00,6.2,93,4.3,1033.0,0.0
Paris,2021-12-15T12:00,6.2,95,4.8,1033.0,0.0
Paris,2021-12-15T13:00,6.4,95,5.1,1033.0,0.0
Paris,2021-12-15T14:00,6.5,94,5.1,1033.0,0.0
Paris,2021-12-15T15:00,6.6,94,5.2,1033.0,0.0
Paris,2021-12-15T16:00,6.5,95,5.2,1033.0,0.0
Paris,2021-12-15T17:00,6.4,95,5.2,1034.0,0.0
Paris,2021-12-15T18:00,6.4,95,5.1,1034.0,0.0
Paris,2021-12-15T19:00,6.2,97,4.9,1034.0,0.0
Paris,2021-12-15T20:00,6.0,99,4.5,1034.0,0.0
Paris,2021-12-15T21:00,5.6,100,4.1,1035.0,0.0
Paris,2021-12-15T22:00,5.6,100,4.1,1035.0,0.0
Paris,2021-12-15T23:00,5.8,100,4.5,1035.0,0.0
Paris,2021-12-16T00:00,5.9,100,4.6,1035.0,0.0
Paris,2021-12-16T01:00,5.9,100,4.6,1035.0,0.0
Paris,2021-12-16T02:00,6.0,100,4.6,1036.0,0.0
Paris,2021-12-16T03:00,6.0,100,4.7,1036.0,0.0
Paris,2021-12-16T04:00,6.1,100,4.9,1035.0,0.0
Paris,2021-12-16T05:00,6.1,100,4.9,1035.0,0.0
Paris,2021-12-16T06:00,6.1,100,5.0,1036.0,0.0
Paris,2021-12-16T07:00,6.3,100,5.0,1036.0,0.0
Paris,2021-12-16T08:00,6.6,99,5.0,1036.0,0.0
Paris,2021-12-16T09:00,7.0,97,5.2,1037.0,0.0
Paris,2021-12-16T10:00,7.2,95,5.2,1037.0,0.0
Paris,2021-12-16T11:00,7.8,88,5.7,1037.0,0.0
Paris,2021-12-16T12:00,9.0,80,6.6,1037.0,0.0
Paris,2021-12-16T13:00,9.4,79,7.1,1037.0,0.0
Paris,2021-12-16T14:00,9.7,79,7.6,1036.0,0.0
Paris,2021-12-16T15:00,9.7,80,7.8,1036.0,0.0
Paris,2021-12-16T16:00,9.2,83,7.4,1036.0,0.0
Paris,2021-12-16T17:00,8.4,88,6.7,1037.0,0.0
Paris,2021-12-16T18:00,7.4,92,5.7,1037.0,0.0
Paris,2021-12-16T19:00,6.8,93,5.1,1037.0,0.0
Paris,2021-12-16T20:00,6.3,93,4.5,1037.0,0.0
Paris,2021-12-16T21:00,5.7,92,3.9,1037.0,0.0
Paris,2021-12-16T22:00,5.4,92,3.5,1037.0,0.0
Paris,2021-12-16T23:00,5.1,92,3.1,1037.0,0.0
Paris,2021-12-17T00:00,4.7,92,2.7,1037.0,0.0
Paris,2021-12-17T01:00,4.5,93,2.5,1036.0,0.0
Paris,2021-12-17T02:00,4.4,93,2.3,1036.0,0.0
Paris,2021-12-17T03:00,4.2,93,2.1,1036.0,0.0
Paris,2021-12-17T04:00,4.1,93,1.9,1036.0,0.0
Paris,2021-12-17T05:00,4.0,92,1.9,1036.0,0.0
Paris,2021-12-17T06:00,3.9,92,1.8,1036.0,0.0
Paris,2021-12-17T07:00,3.9,93,1.7,1036.0,0.0
Paris,2021-12-17T08:00,3.8,94,1.7,1036.0,0.0
Paris,2021-12-17T09:00,4.0,95,1.9,1037.0,0.0
Paris,2021-12-17T10:00,4.6,94,2.4,1037.0,0.0
Paris,2021-12-17T11:00,5.4,93,3.0,1036.0,0.0
Paris,2021-12-17T12:00,6.3,91,3.7,1036.0,0.0
Paris,2021-12-17T13:00,6.8,90,4.3,1036.0,0.0
Paris,2021-12-17T14:00,7.2,89,4.7,1036.0,0.0
Paris,2021-12-17T15:00,7.5,89,5.2,1036.0,0.0
Paris,2021-12-17T16:00,7.6,91,5.4,1035.0,0.0
Paris,2021-12-17T17:00,7.6,93,5.5,1035.0,0.0
Paris,2021-12-17T18:00,7.5,95,5.5,1035.0,0.0
Paris,2021-12-17T19:00,7.5,94,5.5,1035.0,0.0
Paris,2021-12-17T20:00,7.4,92,5.3,1035.0,0.0
Paris,2021-12-17T21:00,7.3,90,5.1,1035.0,0.0
Paris,2021-12-17T22:00,7.0,91,4.9,1035.0,0.0
Paris,2021-12-17T23:00,6.7,93,4.6,1035.0,0.0
Paris,2021-12-18T00:00,6.4,95,4.2,1034.0,0.0
Paris,2021-12-18T01:00,6.3,96,4.1,1034.0,0.0
Paris,2021-12-18T02:00,6.3,95,4.0,1034.0,0.0
Paris,2021-12-18T03:00,6.4,94,4.0,1034.0,0.0
Paris,2021-12-18T04:00,6.5,94,4.1,1034.0,0.0
Paris,2021-12-18T05:00,6.7,95,4.3,1034.0,0.0
Paris,2021-12-18T06:00,6.9,95,4.4,1034.0,0.0
Paris,2021-12-18T07:00,4.2,87,1.5,1033.6,0.0
Paris,2021-12-18T08:00,4.1,87,1.3,1033.6,0.0
Paris,2021-12-18T09:00,4.4,86,1.5,1033.6,0.0
Paris,2021-12-18T10:00,5.2,81,2.1,1033.6,0.0
Paris,2021-12-18T11:00,6.3,75,3.0,1033.6,0.0
Paris,2021-12-18T12:00,7.5,68,3.8,1033.6,0.0
Paris,2021-12-18T13:00,7.9,64,4.1,1033.6,0.0
Paris,2021-12-18T14:00,8.0,61,4.1,1032.6,0.0
Paris,2021-12-18T15:00,7.9,59,4.0,1032.6,0.0
Paris,2021-12-18T16:00,7.4,62,3.5,1032.6,0.0
Paris,2021-12-18T17:00,6.6,68,2.9,1032.6,0.0
Paris,2021-12-18T18:00,5.7,74,2.2,1033.6,0.0
Paris,2021-12-18T19:00,5.3,74,1.9,1033.6,0.0
Paris,2021-12-18T20:00,5.1,73,1.7,1033.6,0.0
Paris,2021-12-18T21:00,4.9,73,1.5,1033.6,0.0
Paris,2021-12-18T22:00,4.6,76,1.3,1033.6,0.0
Paris,2021-12-18T23:00,4.3,81,1.1,1033.6,0.0
Paris,2021-12-19T00:00,3.9,86,0.7,1033.6,0.0
Paris,2021-12-19T01:00,3.6,86,0.4,1033.6,0.0
Paris,2021-12-19T02:00,3.4,84,-0.1,1033.6,0.0
Paris,2021-12-19T03:00,3.0,82,-0.7,1033.6,0.0
Paris,2021-12-19T04:00,2.7,81,-1.1,1033.6,0.0
Paris,2021-12-19T05:00,2.3,80,-1.5,1033.6,0.0
Paris,2021-12-19T06:00,1.9,79,-2.0,1033.6,0.0
Paris,2021-12-19T07:00,1.6,78,-2.3,1033.6,0.0
Paris,2021-12-19T08:00,1.3,77,-2.6,1034.6,0.0
Paris,2021-12-19T09:00,1.4,74,-2.6,1034.6,0.0
Paris,2021-12-19T10:00,2.1,70,-2.0,1034.6,0.0
Paris,2021-12-19T11:00,3.1,64,-1.1,1034.6,0.0
Paris,2021-12-19T12:00,4.3,57,-0.1,1034.6,0.0
Paris,2021-12-19T13:00,4.8,55,0.4,1033.6,0.0
Paris,2021-12-19T14:00,5.1,54,0.7,1033.6,0.0
Paris,2021-12-19T15:00,5.1,54,0.8,1033.6,0.0
Paris,2021-12-19T16:00,4.6,58,0.5,1033.6,0.0
Paris,2021-12-19T17:00,3.7,63,-0.2,1033.6,0.0
Paris,2021-12-19T18:00,2.7,68,-1.1,1034.6,0.0
Paris,2021-12-19T19:00,2.2,69,-1.5,1034.6,0.0
Paris,2021-12-19T20:00,1.9,69,-1.8,1034.6,0.0
Paris,2021-12-19T21:00,1.5,69,-2.2,1034.6,0.0
Paris,2021-12-19T22:00,1.2,69,-2.5,1034.6,0.0
Paris,2021-12-19T23:00,0.9,70,-2.8,1034.6,0.0
London,2021-12-13T00:00,11.0,85,8.5,1021.7,0.0
London,2021-12-13T01:00,10.8,85,8.2,1021.7,0.0
London,2021-12-13T02:00,10.4,86,7.9,1021.7,0.0
London,2021-12-13T03:00,10.7,88,8.2,1021.7,0.0
London,2021-12-13T04:00,10.7,88,8.5,1022.2,0.0
London,2021-12-13T05:00,10.7,89,8.7,1022.7,0.0
London,2021-12-13T06:00,10.7,89,8.8,1022.2,0.0
London,2021-12-13T07:00,10.4,90,8.5,1021.7,0.0
London,2021-12-13T08:00,10.2,90,8.4,1022.7,0.0
London,2021-12-13T09:00,10.3,89,8.4,1023.7,0.0
London,2021-12-13T10:00,10.6,88,8.7,1024.2,0.0
London,2021-12-13T11:00,10.8,84,8.7,1024.7,0.0
London,2021-12-13T12:00,11.1,81,8.9,1024.2,0.0
London,2021-12-13T13:00,11.2,79,9.0,1023.7,0.0
London,2021-12-13T14:00,11.2,79,8.8,1023.7,0.0
London,2021-12-13T15:00,10.7,80,8.1,1023.7,0.0
London,2021-12-13T16:00,10.0,83,7.6,1023.7,0.0
London,2021-12-13T17:00,9.6,84,7.0,1023.7,0.0
London,2021-12-13T18:00,9.1,85,6.6,1024.2,0.0
London,2021-12-13T19:00,8.8,86,6.2,1024.7,0.0
London,2021-12-13T20:00,8.6,85,6.2,1024.7,0.0
London,2021-12-13T21:00,8.6,85,6.4,1024.7,0.0
London,2021-12-13T22:00,8.6,86,6.5,1024.7,0.0
London,2021-12-13T23:00,8.7,86,6.6,1024.7,0.0
London,2021-12-14T00:00,8.5,89,6.5,1024.7,0.0
London,2021-12-14T01:00,8.3,91,6.2,1024.2,0.0
London,2021-12-14T02:00,8.3,92,6.2,1024.2,0.0
London,2021-12-14T03:00,8.6,93,6.7,1024.7,0.0
London,2021-12-14T04:00,8.9,93,7.1,1024.2,0.0
London,2021-12-14T05:00,9.3,94,7.7,1024.7,0.0
London,2021-12-14T06:00,9.7,94,7.9,1024.7,0.0
London,2021-12-14T07:00,10.0,93,8.5,1025.7,0.0
London,2021-12-14T08:00,10.2,93,8.7,1025.7,0.0
London,2021-12-14T09:00,10.3,94,8.8,1026.7,0.0
London,2021-12-14T10:00,10.7,93,9.2,1026.7,0.0
London,2021-12-14T11:00,11.3,91,9.6,1026.7,0.0
London,2021-12-14T12:00,12.1,87,10.5,1026.7,0.0
London,2021-12-14T13:00,12.5,84,10.7,1026.7,0.0
London,2021-12-14T14:00,12.7,83,11.4,1025.7,0.0
London,2021-12-14T15:00,12.5,84,11.3,1026.7,0.0
London,2021-12-14T16:00,11.8,87,10.6,1026.7,0.0
London,2021-12-14T17:00,11.4,88,10.0,1026.7,0.0
London,2021-12-14T18:00,10.9,88,9.5,1026.7,0.0
London,2021-12-14T19:00,10.5,89,9.2,1027.7,0.0
London,2021-12-14T20:00,10.4,90,9.0,1027.7,0.0
London,2021-12-14T21:00,10.1,89,8.6,1027.7,0.0
London,2021-12-14T22:00,9.9,92,8.5,1027.7,0.0
London,2021-12-14T23:00,9.9,94,8.5,1027.7,0.0
London,2021-12-15T00:00,9.8,94,8.4,1027.7,0.0
London,2021-12-15T01:00,9.8,93,8.2,1027.7,0.0
London,2021-12-15T02:00,9.6,93,8.1,1028.7,0.0
London,2021-12-15T03:00,9.3,94,8.0,1028.7,0.0
London,2021-12-15T04:00,9.2,94,7.7,1028.7,0.0
London,2021-12-15T05:00,9.1,95,7.7,1028.7,0.0
London,2021-12-15T06:00,9.0,96,7.7,1028.7,0.0
London,2021-12-15T07:00,9.1,96,7.8,1029.7,0.0
London,2021-12-15T08:00,9.2,96,7.9,1029.7,0.0
London,2021-12-15T09:00,9.4,96,8.3,1030.7,0.0
London,2021-12-15T10:00,9.8,94,8.5,1031.2,0.0
London,2021-12-15T11:00,10.7,89,9.3,1031.2,0.0
London,2021-12-15T12:00,11.5,85,10.0,1030.2,0.0
London,2021-12-15T13:00,12.2,82,10.6,1030.2,0.0
London,2021-12-15T14:00,12.3,81,10.7,1030.2,0.0
London,2021-12-15T15:00,12.1,83,10.8,1031.2,0.0
London,2021-12-15T16:00,11.6,87,10.6,1031.2,0.0
